country,incidents,deaths,mean_severity,recent,recency,frequency_n,lethality_n,intensity_n,recency_n,pressure_index
Paraguay,114,59.0,0.8201754385964912,79.0,0.6929824561403509,0.4301779656336622,0.3632314278974555,0.010125622698722114,0.6929824561403509,0.38650682644856243
Cambodia,259,543.0,3.613899613899614,4.0,0.015444015444015444,0.5167860818190683,0.5588138209714684,0.04461604461604461,0.015444015444015444,0.3833675880280768
Honduras,323,307.0,1.3219814241486068,14.0,0.043343653250773995,0.5401500498297884,0.5083481115313828,0.016320758322822305,0.043343653250773995,0.37751411512736965
Venezuela,293,227.0,1.1962457337883958,36.0,0.12286689419795221,0.5298341756702303,0.48166658555078196,0.014768465849239455,0.12286689419795221,0.3770789499404055
Tanzania,59,73.0,3.2203389830508473,43.0,0.7288135593220338,0.3611050905244125,0.38183686932290467,0.03975727139568947,0.7288135593220338,0.37427872161429493
Senegal,118,325.0,4.122881355932203,29.0,0.2457627118644068,0.43380806247224873,0.5133869333628037,0.0508997698263235,0.2457627118644068,0.3720386772513502
Sierra Leone,101,840.0,8.92079207920792,4.0,0.039603960396039604,0.4174418864033318,0.5974620132191923,0.1101332355457768,0.039603960396039604,0.36867593791836284
Tajikistan,188,307.0,4.582446808510638,15.0,0.0797872340425532,0.4829247969706612,0.5083481115313828,0.05657341738902022,0.0797872340425532,0.36612844996241534
West Germany (FRG),541,97.0,0.9759704251386322,0.0,0.0,0.5947768967626536,0.40675723765589794,0.012049017594304101,0.0,0.36174528264097644
Japan,402,66.0,8.868159203980099,21.0,0.05223880597014925,0.563315603263462,0.3730210002605112,0.10948344696271727,0.05223880597014925,0.3614908793234682
Brazil,273,203.0,1.0366300366300367,16.0,0.05860805860805861,0.5223543235621668,0.4717991585069862,0.012797901686790576,0.05860805860805861,0.36119237102119006
Haiti,213,336.0,2.2816901408450705,1.0,0.004694835680751174,0.49611418860049594,0.5163310027151589,0.028169014084507043,0.004694835680751174,0.35827455371953476
Sweden,132,22.0,0.4696969696969697,79.0,0.5984848484848485,0.4456168869914199,0.27816663300023864,0.005798728020950244,0.5984848484848485,0.3523392811725094
Kosovo,196,83.0,1.3545918367346939,46.0,0.23469387755102042,0.48732625582934935,0.393081697970828,0.016723356009070295,0.23469387755102042,0.3505675967570017
Jordan,113,133.0,2.327433628318584,29.0,0.25663716814159293,0.42925071092250305,0.4345138317288137,0.028733748497760295,0.25663716814159293,0.34486007138354824
Republic of the Congo,36,182.0,5.805555555555555,16.0,0.4444444444444444,0.3097796881825991,0.4621616635219489,0.07167352537722908,0.4444444444444444,0.3399780698028753
Namibia,151,220.0,2.801324503311258,0.0,0.0,0.45979391355315524,0.47890017957621883,0.034584253127299486,0.0,0.33277525726322266
Azerbaijan,49,258.0,7.173469387755102,11.0,0.22448979591836735,0.34174801274186456,0.4929762409483998,0.08856135046611237,0.22448979591836735,0.33154974933893777
Zimbabwe,101,154.0,2.623762376237624,14.0,0.13861386138613863,0.4174418864033318,0.44742949179593133,0.03239212810169906,0.13861386138613863,0.32685650052328785
Yugoslavia,203,119.0,1.2783251231527093,0.0,0.0,0.49103331533137595,0.424724259365758,0.015781791643860607,0.0,0.3261978726888569
Maldives,22,20.0,3.6818181818181817,19.0,0.8636363636363636,0.25930395926272987,0.270096035034223,0.045454545454545456,0.8636363636363636,0.32111403057899524
Bosnia-Herzegovina,159,79.0,0.9685534591194969,17.0,0.1069182389937107,0.4652397220831088,0.3887532588936351,0.01195745011258638,0.1069182389937107,0.3205532198672786
